User,digest,escape,students,walls,tourism,flipped,spam,Last valid submission,Global
Yash S8,0,43,0,0,0,0,0,2021-02-06 16:36:45,43
KUMAR A,0,43,0,0,0,0,0,2021-02-06 16:54:03,43
Tanmay C1,0,43,0,0,0,0,0,2021-02-06 16:59:50,43
Gitansh G,0,43,0,0,0,0,0,2021-02-06 17:00:01,43
Tanmay S,0,43,0,0,0,0,0,2021-02-06 17:00:28,43
Belal M,0,43,0,0,0,0,0,2021-02-06 17:01:32,43
Ayan B2,0,43,0,0,0,0,0,2021-02-06 17:22:14,43
Dyson Y,0,43,0,0,0,0,0,2021-02-06 17:26:58,43
Antonio M,0,43,0,0,0,0,0,2021-02-06 17:39:39,43
Aditi G,28,0,0,0,13,0,0,2021-02-06 16:53:05,41
Vishu T,40,0,0,0,0,0,0,2021-02-06 15:18:17,40
Iqbal K,40,0,0,0,0,0,0,2021-02-06 15:49:52,40
Devesh B,40,0,0,0,0,0,0,2021-02-06 16:23:26,40
Rhythem A,0,0,21,0,13,0,0,2021-02-06 17:58:34,34
Kumar K2,0,0,0,0,0,33,0,2021-02-06 14:43:25,33
Umang A2,0,0,0,0,0,33,0,2021-02-06 16:14:43,33
Kush M,0,0,0,0,0,32,0,2021-02-06 14:36:57,32
Keshav G1,32,0,0,0,0,0,0,2021-02-06 17:09:28,32
Georgios P,0,0,0,0,0,31,0,2021-02-06 15:34:59,31
Vivek S1,0,0,0,0,0,30,0,2021-02-06 15:10:11,30
HARSH V,0,0,0,0,0,30,0,2021-02-06 16:41:33,30
DEEPAK R,8,0,21,0,0,0,0,2021-02-06 17:05:28,29
Aniket G,28,0,0,0,0,0,0,2021-02-06 15:14:48,28
A Y,0,0,0,0,0,28,0,2021-02-06 15:31:00,28
Jatin A2,28,0,0,0,0,0,0,2021-02-06 15:39:05,28
Vishakha V,28,0,0,0,0,0,0,2021-02-06 16:11:47,28
Ashutosh P,28,0,0,0,0,0,0,2021-02-06 16:44:00,28
Gantugs A,28,0,0,0,0,0,0,2021-02-06 17:06:51,28
Gizem Ç,28,0,0,0,0,0,0,2021-02-06 17:25:04,28
Rahul ম,28,0,0,0,0,0,0,2021-02-06 17:52:47,28
Keshav B,28,0,0,0,0,0,0,2021-02-06 17:59:09,28
Reacto G,0,0,0,0,0,27,0,2021-02-06 16:18:39,27
Praveen ம,0,0,0,0,0,0,25,2021-02-06 16:39:27,25
Oliver H,24,0,0,0,0,0,0,2021-02-06 14:55:03,24
Naman S2,24,0,0,0,0,0,0,2021-02-06 15:56:55,24
Silent K,24,0,0,0,0,0,0,2021-02-06 16:09:17,24
Nishchith K,24,0,0,0,0,0,0,2021-02-06 16:46:19,24
Rounak C,24,0,0,0,0,0,0,2021-02-06 17:01:17,24
Shivom A,24,0,0,0,0,0,0,2021-02-06 17:11:57,24
Omer R,0,0,21,0,0,0,0,2021-02-06 14:09:41,21
Mohamed S,0,0,21,0,0,0,0,2021-02-06 14:14:47,21
Suneet M,0,0,21,0,0,0,0,2021-02-06 14:17:57,21
Samay V,0,0,21,0,0,0,0,2021-02-06 14:20:38,21
Ujjwal S,0,0,21,0,0,0,0,2021-02-06 14:22:20,21
Dania L,0,0,21,0,0,0,0,2021-02-06 14:28:23,21
Oɱʜʌʀɩ S,0,0,21,0,0,0,0,2021-02-06 14:37:31,21
Ankit M4,0,0,21,0,0,0,0,2021-02-06 14:41:27,21
Anurag G2,0,0,21,0,0,0,0,2021-02-06 14:48:02,21
Vishal M2,0,0,21,0,0,0,0,2021-02-06 14:48:28,21
Ajay S9,0,0,21,0,0,0,0,2021-02-06 14:48:39,21
Vatsayayn B,0,0,21,0,0,0,0,2021-02-06 14:52:44,21
Abhimanyu S,0,0,21,0,0,0,0,2021-02-06 14:52:54,21
Adarsh J,0,0,21,0,0,0,0,2021-02-06 14:59:25,21
SICHAO Y,0,0,21,0,0,0,0,2021-02-06 15:01:30,21
Prashant C,0,0,21,0,0,0,0,2021-02-06 15:09:48,21
Bismit P,0,0,21,0,0,0,0,2021-02-06 15:21:14,21
Rishabh A3,0,0,21,0,0,0,0,2021-02-06 15:25:55,21
Ridhul S,0,0,21,0,0,0,0,2021-02-06 15:32:32,21
Aashish R,0,0,21,0,0,0,0,2021-02-06 15:38:07,21
Devendu T,0,0,21,0,0,0,0,2021-02-06 15:52:53,21
Smit M,0,0,21,0,0,0,0,2021-02-06 16:01:06,21
Meet J,0,0,21,0,0,0,0,2021-02-06 16:02:54,21
Bufftowel B,0,0,21,0,0,0,0,2021-02-06 16:03:44,21
Andrew R,0,0,21,0,0,0,0,2021-02-06 16:11:19,21
Zijian Z,0,0,21,0,0,0,0,2021-02-06 16:36:26,21
Ritwik G,0,0,21,0,0,0,0,2021-02-06 17:05:36,21
Bagathi J,0,0,21,0,0,0,0,2021-02-06 17:37:15,21
Parth A1,0,0,21,0,0,0,0,2021-02-06 17:40:34,21
Sumit A,0,0,21,0,0,0,0,2021-02-06 17:53:02,21
Sourav S1,0,0,0,0,0,20,0,2021-02-06 15:05:32,20
Aditya J,20,0,0,0,0,0,0,2021-02-06 15:29:01,20
Siddharth K,20,0,0,0,0,0,0,2021-02-06 15:50:06,20
Sarvagya M,20,0,0,0,0,0,0,2021-02-06 15:51:26,20
Vibhu P,20,0,0,0,0,0,0,2021-02-06 15:53:34,20
Srinjay M,0,0,0,0,0,20,0,2021-02-06 15:55:34,20
Lim Y,20,0,0,0,0,0,0,2021-02-06 16:15:07,20
Dibyanshu M,20,0,0,0,0,0,0,2021-02-06 17:37:58,20
BHAVYA S,16,0,0,0,0,0,0,2021-02-06 15:36:17,16
Suman R,16,0,0,0,0,0,0,2021-02-06 17:45:34,16
Nitish K3,0,0,0,0,13,0,0,2021-02-06 14:54:07,13
Priyanshu K,0,0,0,0,13,0,0,2021-02-06 16:42:50,13
Abhi R1,0,0,0,0,13,0,0,2021-02-06 16:56:21,13
Kevin L,0,0,0,0,13,0,0,2021-02-06 16:58:22,13
Avinash R,0,0,0,0,13,0,0,2021-02-06 17:35:30,13
Vaddavalli R,0,0,0,0,13,0,0,2021-02-06 17:50:49,13
Tahsin T,12,0,0,0,0,0,0,2021-02-06 15:07:02,12
Smart M,12,0,0,0,0,0,0,2021-02-06 15:52:15,12
Aayush श,12,0,0,0,0,0,0,2021-02-06 16:38:05,12
Aditya M1,12,0,0,0,0,0,0,2021-02-06 17:34:53,12
Vanshika S1,12,0,0,0,0,0,0,2021-02-06 17:47:41,12
Saransh A,8,0,0,0,0,0,0,2021-02-06 15:20:30,8
Guekeng Y,8,0,0,0,0,0,0,2021-02-06 15:22:07,8
Aryan B1,8,0,0,0,0,0,0,2021-02-06 15:28:26,8
Putra H,8,0,0,0,0,0,0,2021-02-06 15:43:23,8
Palash K,8,0,0,0,0,0,0,2021-02-06 15:43:24,8
Gourav T,8,0,0,0,0,0,0,2021-02-06 16:06:25,8
Roshni S1,8,0,0,0,0,0,0,2021-02-06 16:11:57,8
Suresh P,8,0,0,0,0,0,0,2021-02-06 16:31:00,8
Sibashis S,8,0,0,0,0,0,0,2021-02-06 16:37:48,8
Satyam S3,8,0,0,0,0,0,0,2021-02-06 16:43:26,8
Vasiliy M,8,0,0,0,0,0,0,2021-02-06 17:15:05,8
TANYA G,8,0,0,0,0,0,0,2021-02-06 17:40:37,8
Adham E,4,0,0,0,0,0,0,2021-02-06 16:43:19,4
Leonardo S,0,0,0,0,0,0,4,2021-02-06 17:56:43,4
